epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.91891,1.1267,1.17186,1.15737,0.65713,0.75043,0.77837,0.50016,1.31339,1.33454,1.25503,3.334e-05,3.334e-05,3.334e-05
2,17.6163,1.06919,1.03603,1.14055,0.85415,0.68485,0.81605,0.53833,1.22828,1.20288,1.22698,8.27999e-05,8.27999e-05,8.27999e-05
3,25.4031,1.08594,1.05264,1.13065,0.75721,0.73029,0.80725,0.52376,1.2277,1.26173,1.22926,0.0001316,0.0001316,0.0001316
4,33.1446,1.06319,1.05966,1.14134,0.69522,0.73133,0.7938,0.50517,1.29937,1.29479,1.25344,0.000179739,0.000179739,0.000179739
5,40.9419,1.16163,1.07165,1.17088,0.57928,0.82349,0.76511,0.50412,1.23599,1.30173,1.25259,0.000227219,0.000227219,0.000227219
6,48.7683,1.05812,1.02444,1.10643,0.6788,0.66186,0.76681,0.50452,1.25302,1.34889,1.26693,0.000274038,0.000274038,0.000274038
7,56.7858,1.10511,1.05242,1.11553,0.67784,0.65876,0.75255,0.49346,1.25318,1.36653,1.26772,0.000320197,0.000320197,0.000320197
8,66.4916,1.11982,1.05085,1.16457,0.71709,0.68788,0.75993,0.50215,1.25155,1.33604,1.26516,0.000365696,0.000365696,0.000365696
9,75.748,1.09422,1.03904,1.13458,0.76772,0.70288,0.77668,0.51276,1.2571,1.27904,1.24197,0.000410535,0.000410535,0.000410535
10,85.013,1.05351,0.97847,1.09581,0.74522,0.74305,0.77889,0.52319,1.2556,1.2624,1.2402,0.000454714,0.000454714,0.000454714
11,94.0338,1.08564,1.01571,1.12454,0.70992,0.80403,0.79623,0.51304,1.24458,1.2651,1.23127,0.000498233,0.000498233,0.000498233
12,102.823,1.03864,0.96377,1.08564,0.78125,0.65758,0.7765,0.48386,1.31567,1.34854,1.27713,0.000541092,0.000541092,0.000541092
13,111.869,1.09549,1.01216,1.09858,0.68689,0.70909,0.76948,0.46896,1.31636,1.35551,1.29657,0.00058329,0.00058329,0.00058329
